Date,Open,High,Low,Close,Adj Close,Volume
2025-11-10,268.95,273.73,268.95,271.95,271.95,"9,690,958"
2025-11-07,269.80,272.29,266.77,268.47,268.47,"48,203,600"
2025-11-06,267.89,273.40,267.89,269.77,269.77,"51,204,000"
2025-11-05,268.61,271.70,266.93,270.14,270.14,"43,683,100"
2025-11-04,268.33,271.49,267.62,270.04,270.04,"49,274,800"
2025-11-03,270.42,270.85,266.25,269.05,269.05,"50,194,600"
2025-10-31,276.99,277.32,269.16,270.37,270.37,"86,167,100"
2025-10-30,271.99,274.14,268.48,271.40,271.40,"69,886,500"
2025-10-29,269.28,271.41,267.11,269.70,269.70,"51,086,700"
2025-10-28,268.99,269.89,268.15,269.00,269.00,"41,534,800"
2025-10-27,264.88,269.12,264.65,268.81,268.81,"44,888,200"
2025-10-24,261.19,264.13,259.18,262.82,262.82,"38,253,700"
2025-10-23,259.94,260.62,258.01,259.58,259.58,"32,754,900"
2025-10-22,262.65,262.85,255.43,258.45,258.45,"45,015,300"
2025-10-21,261.88,265.29,261.83,262.77,262.77,"46,695,900"
2025-10-20,255.89,264.38,255.63,262.24,262.24,"90,483,000"
2025-10-17,248.02,253.38,247.27,252.29,252.29,"49,147,000"
2025-10-16,248.25,249.04,245.13,247.45,247.45,"39,777,000"
2025-10-15,249.49,251.82,247.47,249.34,249.34,"33,893,600"
2025-10-14,246.60,248.85,244.70,247.77,247.77,"35,478,000"
2025-10-13,249.38,249.69,245.56,247.66,247.66,"38,142,900"
2025-10-10,254.94,256.38,244.00,245.27,245.27,"61,999,100"
2025-10-09,257.81,258.00,253.14,254.04,254.04,"38,322,000"
2025-10-08,256.52,258.52,256.11,258.06,258.06,"36,496,900"
2025-10-07,256.81,257.40,255.43,256.48,256.48,"31,955,800"
2025-10-06,257.99,259.07,255.05,256.69,256.69,"44,664,100"
2025-10-03,254.67,259.24,253.95,258.02,258.02,"49,155,600"
2025-10-02,256.58,258.18,254.15,257.13,257.13,"42,630,200"
2025-10-01,255.04,258.79,254.93,255.45,255.45,"48,713,900"
2025-09-30,254.86,255.92,253.11,254.63,254.63,"37,704,300"
2025-09-29,254.56,255.00,253.01,254.43,254.43,"40,127,700"
2025-09-26,254.10,257.60,253.78,255.46,255.46,"46,076,300"
2025-09-25,253.21,257.17,251.71,256.87,256.87,"55,202,100"
2025-09-24,255.22,255.74,251.04,252.31,252.31,"42,303,700"
2025-09-23,255.88,257.34,253.58,254.43,254.43,"60,275,200"
2025-09-22,248.30,256.64,248.12,256.08,256.08,"105,517,400"
2025-09-19,241.23,246.30,240.21,245.50,245.50,"163,741,300"
2025-09-18,239.97,241.20,236.65,237.88,237.88,"44,249,600"
2025-09-17,238.97,240.10,237.73,238.99,238.99,"46,508,000"
2025-09-16,237.18,241.22,236.32,238.15,238.15,"63,421,100"
2025-09-15,237.00,238.19,235.03,236.70,236.70,"42,699,500"
2025-09-12,229.22,234.51,229.02,234.07,234.07,"55,824,200"
2025-09-11,226.88,230.45,226.65,230.03,230.03,"50,208,600"
2025-09-10,232.19,232.42,225.95,226.79,226.79,"83,440,800"
2025-09-09,237.00,238.78,233.36,234.35,234.35,"66,313,900"
2025-09-08,239.30,240.15,236.34,237.88,237.88,"48,999,500"
2025-09-05,240.00,241.32,238.49,239.69,239.69,"54,870,400"
2025-09-04,238.45,239.90,236.74,239.78,239.78,"47,549,400"
2025-09-03,237.21,238.85,234.36,238.47,238.47,"66,427,800"
2025-09-02,229.25,230.85,226.97,229.72,229.72,"44,075,600"
2025-08-29,232.51,233.38,231.37,232.14,232.14,"39,418,400"
2025-08-28,230.82,233.41,229.34,232.56,232.56,"38,074,700"
2025-08-27,228.61,230.90,228.26,230.49,230.49,"31,259,500"
2025-08-26,226.87,229.49,224.69,229.31,229.31,"54,575,100"
2025-08-25,226.48,229.30,226.23,227.16,227.16,"30,983,100"
2025-08-22,226.17,229.09,225.41,227.76,227.76,"42,477,800"
2025-08-21,226.27,226.52,223.78,224.90,224.90,"30,621,200"
2025-08-20,229.98,230.47,225.77,226.01,226.01,"42,263,900"
2025-08-19,231.28,232.87,229.35,230.56,230.56,"39,402,600"
2025-08-18,231.70,233.12,230.11,230.89,230.89,"37,476,200"
2025-08-15,234.00,234.28,229.34,231.59,231.59,"56,038,700"
2025-08-14,234.06,235.12,230.85,232.78,232.78,"51,916,300"
2025-08-13,231.07,235.00,230.43,233.33,233.33,"69,878,500"
2025-08-12,228.01,230.80,227.07,229.65,229.65,"55,626,200"
2025-08-11,0.26 Dividend,,,,,
2025-08-11,227.92,229.56,224.76,227.18,227.18,"61,806,100"
2025-08-08,220.83,231.00,219.25,229.35,229.09,"113,854,000"
2025-08-07,218.88,220.85,216.58,220.03,219.78,"90,224,800"
2025-08-06,205.63,215.38,205.59,213.25,213.01,"108,483,100"
2025-08-05,203.40,205.34,202.16,202.92,202.69,"44,155,100"
2025-08-04,204.51,207.88,201.68,203.35,203.12,"75,109,300"
2025-08-01,210.87,213.58,201.50,202.38,202.15,"104,434,500"
2025-07-31,208.49,209.84,207.16,207.57,207.33,"80,698,400"
2025-07-30,211.90,212.39,207.72,209.05,208.81,"45,512,500"
2025-07-29,214.18,214.81,210.82,211.27,211.03,"51,411,700"
2025-07-28,214.03,214.85,213.06,214.05,213.81,"37,858,000"
2025-07-25,214.70,215.24,213.40,213.88,213.64,"40,268,800"
2025-07-24,213.90,215.69,213.53,213.76,213.52,"46,022,600"
2025-07-23,215.00,215.15,212.41,214.15,213.91,"46,989,300"
2025-07-22,213.14,214.95,212.23,214.40,214.16,"46,404,100"
2025-07-21,212.10,215.78,211.63,212.48,212.24,"51,377,400"
2025-07-18,210.87,211.79,209.70,211.18,210.94,"48,974,600"
2025-07-17,210.57,211.80,209.59,210.02,209.78,"48,068,100"
2025-07-16,210.30,212.40,208.64,210.16,209.92,"47,490,500"
2025-07-15,209.22,211.89,208.92,209.11,208.87,"42,296,300"
2025-07-14,209.93,210.91,207.54,208.62,208.38,"38,840,100"
2025-07-11,210.57,212.13,209.86,211.16,210.92,"39,765,800"
2025-07-10,210.51,213.48,210.03,212.41,212.17,"44,443,600"
2025-07-09,209.53,211.33,207.22,211.14,210.90,"48,749,400"
2025-07-08,210.10,211.43,208.45,210.01,209.77,"42,848,900"
2025-07-07,212.68,216.23,208.80,209.95,209.71,"50,229,000"
2025-07-03,212.15,214.65,211.81,213.55,213.31,"34,955,800"
2025-07-02,208.91,213.34,208.14,212.44,212.20,"67,941,800"
2025-07-01,206.67,210.19,206.14,207.82,207.58,"78,788,900"
2025-06-30,202.01,207.39,199.26,205.17,204.94,"91,912,800"
2025-06-27,201.89,203.22,200.00,201.08,200.85,"73,188,600"
2025-06-26,201.43,202.64,199.46,201.00,200.77,"50,799,100"
2025-06-25,201.45,203.67,200.62,201.56,201.33,"39,525,700"
2025-06-24,202.59,203.44,200.20,200.30,200.07,"54,064,000"
2025-06-23,201.63,202.30,198.96,201.50,201.27,"55,814,300"
2025-06-20,198.24,201.70,196.86,201.00,200.77,"96,813,500"
2025-06-18,195.94,197.57,195.07,196.58,196.36,"45,394,700"
2025-06-17,197.20,198.39,195.21,195.64,195.42,"38,856,200"
2025-06-16,197.30,198.69,196.56,198.42,198.20,"43,020,700"
2025-06-13,199.73,200.37,195.70,196.45,196.23,"51,447,300"
2025-06-12,199.08,199.68,197.36,199.20,198.97,"43,904,600"
2025-06-11,203.50,204.50,198.41,198.78,198.55,"60,989,900"
2025-06-10,200.60,204.35,200.57,202.67,202.44,"54,672,600"
2025-06-09,204.39,206.00,200.02,201.45,201.22,"72,862,600"
2025-06-06,203.00,205.70,202.05,203.92,203.69,"46,607,700"
2025-06-05,203.50,204.75,200.15,200.63,200.40,"55,126,100"
2025-06-04,202.91,206.24,202.10,202.82,202.59,"43,604,000"
2025-06-03,201.35,203.77,200.96,203.27,203.04,"46,381,600"
2025-06-02,200.28,202.13,200.12,201.70,201.47,"35,423,300"
2025-05-30,199.37,201.96,196.78,200.85,200.62,"70,819,900"
2025-05-29,203.58,203.81,198.51,199.95,199.72,"51,396,800"
2025-05-28,200.59,202.73,199.90,200.42,200.19,"45,339,700"
2025-05-27,198.30,200.74,197.43,200.21,199.98,"56,288,500"
2025-05-23,193.67,197.70,193.46,195.27,195.05,"78,432,900"
2025-05-22,200.71,202.75,199.70,201.36,201.13,"46,742,400"
2025-05-21,205.17,207.04,200.71,202.09,201.86,"59,211,800"
2025-05-20,207.67,208.47,205.03,206.86,206.63,"42,496,600"
2025-05-19,207.91,209.48,204.26,208.78,208.54,"46,140,500"
2025-05-16,212.36,212.57,209.77,211.26,211.02,"54,737,900"
2025-05-15,210.95,212.96,209.54,211.45,211.21,"45,029,500"
2025-05-14,212.43,213.94,210.58,212.33,212.09,"49,325,800"
2025-05-13,210.43,213.40,209.00,212.93,212.69,"51,909,300"
2025-05-12,0.26 Dividend,,,,,
2025-05-12,210.97,211.27,206.75,210.79,210.55,"63,775,800"
2025-05-09,199.00,200.54,197.54,198.53,198.05,"36,453,900"
2025-05-08,197.72,200.05,194.68,197.49,197.01,"50,478,900"
2025-05-07,199.17,199.44,193.25,196.25,195.77,"68,536,700"
2025-05-06,198.21,200.65,197.02,198.51,198.03,"51,216,500"
2025-05-05,203.10,204.10,198.21,198.89,198.40,"69,018,500"
2025-05-02,206.09,206.99,202.16,205.35,204.85,"101,010,600"
2025-05-01,209.08,214.56,208.90,213.32,212.80,"57,365,700"
2025-04-30,209.30,213.58,206.67,212.50,211.98,"52,286,500"
2025-04-29,208.69,212.24,208.37,211.21,210.69,"36,827,600"
2025-04-28,210.00,211.50,207.46,210.14,209.63,"38,743,100"
2025-04-25,206.37,209.75,206.20,209.28,208.77,"38,222,300"
2025-04-24,204.89,208.83,202.94,208.37,207.86,"47,311,000"
2025-04-23,206.00,208.00,202.80,204.60,204.10,"52,929,200"
2025-04-22,196.12,201.59,195.97,199.74,199.25,"52,976,400"
2025-04-21,193.27,193.80,189.81,193.16,192.69,"46,742,500"
2025-04-17,197.20,198.83,194.42,196.98,196.50,"52,164,700"
2025-04-16,198.36,200.70,192.37,194.27,193.80,"59,732,400"
2025-04-15,201.86,203.51,199.80,202.14,201.65,"51,343,900"
2025-04-14,211.44,212.94,201.16,202.52,202.03,"101,352,900"
2025-04-11,186.10,199.54,186.06,198.15,197.67,"87,435,900"
